id,company_name,city,sector,source,address,google_rating,review_count,website_url,gmb_confirmed,owner_name,gmb_url,gmb_category,phone,email,contact_name,cms,hosting,pagespeed_mobile,pagespeed_desktop,page_count,seo_weaknesses,seo_summary,hook,score,status,error_message,scraped_at,updated_at
2,Plomberie Aixpert,,plombier,google_maps,,5.0,67,,1,,,Plombier,07 82 29 70 65,,,,,,,,,,,,scraped,,2026-03-19T03:48:13.854825,2026-03-19T03:48:13.854845
3,Eddy Les bons tuyaux,,plombier,google_maps,,5.0,106,https://www.facebook.com/Eddy-les-bons-tuyaux-Plomberie-131567617518626,1,,,Plombier,06 50 26 47 34,,,,,,,,,,,,scraped,,2026-03-19T03:48:13.857641,2026-03-19T03:48:13.857659
4,SOLE'O,13100 Aix-en-Provence,plombier,google_maps,"67 Cr Mirabeau, 13100 Aix-en-Provence",5.0,60,http://www.soleoaix.com,1,,,Plombier,06 26 81 19 59,,,,,,,,,,,,scraped,,2026-03-19T03:48:13.860436,2026-03-19T03:48:13.860454
6,AIX PLOMBERIE,13090 Aix-en-Provence,plombier,google_maps,"1500 Route d'Éguilles 13090, 13090 Aix-en-Provence",5.0,65,,1,,,Plombier,06 13 68 54 67,,,,,,,,,,,,scraped,,2026-03-19T03:48:13.866276,2026-03-19T03:48:13.866300
7,ID Provence,13100 Aix-en-Provence,plombier,google_maps,"40 Rue du Puits Neuf, 13100 Aix-en-Provence",5.0,66,http://idprovence.fr,1,,,Plombier,06 20 70 00 89,,,,,,,,,,,,scraped,,2026-03-19T03:48:13.869160,2026-03-19T03:48:13.869177
10,Osec Dépannage & Installation - Votre plombier à proximité dans le Pays d’Aix,,plombier,google_maps,,5.0,32,https://www.osec-depannage.fr,1,,,Plombier,07 68 57 58 92,,,,,,,,,,,,scraped,,2026-03-19T03:48:13.878196,2026-03-19T03:48:13.878210
11,L'entrepreneur Plombier - Stefanu Mozziconacci,,plombier,google_maps,,5.0,28,https://plombieraix.fr,1,,,Plombier,06 85 78 13 45,,,,,,,,,,,,scraped,,2026-03-19T03:48:13.881207,2026-03-19T03:48:13.881219
12,CG Plomberie 13 - Cyril Girard,13090 Aix-en-Provence,plombier,google_maps,"3 Rue de Sévigné, 13090 Aix-en-Provence",5.0,27,https://cgplomberie13.com,1,,,Plombier,07 89 00 49 30,,,,,,,,,,,,scraped,,2026-03-19T03:48:13.883902,2026-03-19T03:48:13.883924
13,CG Plomberie,13540 Aix-en-Provence,plombier,google_maps,"1800 Rte du Seuil, 13540 Aix-en-Provence",5.0,26,http://www.cgplomberie13.com/?utm_source=gmb,1,,,Plombier,07 89 00 49 30,,,,,,,,,,,,scraped,,2026-03-19T03:48:13.887358,2026-03-19T03:48:13.887370
18,Electricien Aix en Provence rapide,13100 Aix-en-Provence,électricien,google_maps,"15 Rue de la Cépède, 13100 Aix-en-Provence",5.0,4,https://electricienaixenprovencerapide.fr,1,,,Électricien,04 84 49 71 31,,,,,,,,,,,,scraped,,2026-03-19T03:48:13.900586,2026-03-19T03:48:13.900604
19,Aix Electricité,13100 Aix-en-Provence,électricien,google_maps,"14 Chem. Du Roc Fleuri, 13100 Aix-en-Provence",5.0,12,http://aixelectricite.wordpress.com/?utm_source=gmb,1,,,Électricien,06 72 93 54 00,,,,,,,,,,,,scraped,,2026-03-19T03:48:13.903326,2026-03-19T03:48:13.903338
